"ADC","Analog-to-Digital Converter"
"ADPLL","All-Digital Phase-Locked Loop"
"AI","Artificial Intelligence"
"AMD","Advanced Micro Devices"
"ANN","Artificial Neural Network"
"ARM","Advanced RISC Machine"
"ASD","Amplitude Spectral Density"
"ASIC","Application-Specific Integrated Circuit"
"AXI","Advanced eXtensible Interface"
"BDT","Boosted Decision Tree"
"BIST","Built-In Self-Test"
"BLSTM","Bidirectional Long Short-Term Memory"
"CA","Cellular Automata"
"CMOS","Complementary Metal-Oxide-Semiconductor"
"CNN1D","1D Convolutional Neural Network"
"CNN","Convolutional Neural Networks"
"CORDIC","Coordinate Rotation Digital Computer"
"COTS","Commercial Off-The-Shelf"
"CP","Charge Pump"
"CPU","Central Processing Unit"
"CRC","Cyclic Redundancy Check"
"CVDP","Code Verification and Debugging Pipeline"
"DBN","Neural Networks and Deep Belief Networks"
"DCO","Digitally Controlled Oscillator"
"DF","Decision Forest"
"DJ","Decision Jungle"
"DLF","Digital Loop Filter"
"DMA","Direct Memory Access"
"DNN","Deep Neural Networks"
"DPU","Deep Learning Processor Unit"
"ECC","Error Correction Codes"
"ECSS","European Cooperation for Space Standardization"
"EDA","Electronic Design Automation"
"EEP","Error End of Packet"
"EMC","Electromagnetic Compatibility"
"ENET","Centre for Energy and Enviromental Technologies"
"EOP","End of Packet"
"ESA","European Space Agency"
"FCT","Flow Control Token"
"FF","Flip Flop"
"FIFO","First In First Out"
"FPGA","Field Programmable Gate Array"
"FPS","Frames Per Second"
"FSM","Finite State Machine"
"GPIO","General Purpose Input/Output"
"GPU","Graphics processing unit"
"GRO","Gated Ring Oscillator"
"GSR","Global Set/Reset"
"HAL","Hardware Abstraction Layer"
"HBM","High-Bandwidth Memory"
"HCA","Hybrid Cellular Automata"
"HDL","Hardware Description Language"
"HIF","High Impedance Faults"
"HLS","High-Level Synthesis tool"
"HPC","High-Performance Computing"
"IF","Interface"
"IO","Input/Output"
"IP","Intellectual Property"
"I/Q","In-phase / Quadrature"
"JSON","JavaScript Object Notation"
"LF","Loop Filter"
"LFSR","Linear Feedback Shift Register"
"LHCA","Linear Hybrid Cellular Automata"
"LISA","Laser Interferometer Space Antenna"
"LLM","Large Language Model"
"LSB","Least Significant Bit"
"LSTM","Long Short Term Memory"
"LSTM-RNN","Long Short Term Memory Recurrent"
"LUT","Look-Up Table"
"LVDS","Low-Voltage Differential Signaling"
"MCC","Matthews Correlation Coefficient"
"MGT","Multi-Gigabit Transceiver"
"MoE","Mixture-of-Experts"
"MTBU","Mean Time Between Upsets"
"NB","Naive Bayes"
"NCO","Numerically Controlled Oscillator"
"NN","Neural Networks"
"NoC","Network-on-Chip"
"PA","Phase Accumulator"
"PCIe","PCI Express"
"PFD","Phase/Frequency Detector"
"PIR","Phase Increment Register"
"PLB","Programmable Logic Block"
"PLL","Phase-Locked Loop"
"PL","Programmable Logic"
"PMS","Phase Measurement System"
"PMU","Phasor Measurement Unit"
"PRNG","Pseudo Random Number Generator"
"PSD","Power Spectral Density"
"PSO","Particle Swarm Optimization"
"PS","Processing System"
"PVT","Process, Voltage, Temperature"
"QSVM","Quantum Support Vector Machine"
"RAM","Random Access Memory"
"RDPR","Remote Dynamic Partial Reconfiguration"
"RF","Radio Frequency"
"RMS","Root Mean Square"
"RNN","Recurrent Neural Networks"
"RTL","Register Transfer Level"
"SAE","Stacked AutoEncoder"
"SEU","Single-event Upset"
"SG","Smart Grid"
"SNR","Signal-to-Noise Ratio"
"SoC","System-On-Chip"
"SRAM","Static Random Access Memory"
"SVM","Support Vector Machine"
"SV","Sample Value"
"TDC","Time-to-Digital Converter"
"TMR","Triple Modular Redundancy"
"UDSM","Ultra Deep Sub-Micron"
"VCO","Voltage-Controlled Oscillator"
"VHDL","VHSIC Hardware Description Language"
"VIO","Virtual Input Output"
"WPUF","Washable Physical Unclonable Function"
"XDMA","Xilinx Direct Memory Access"
